2026-09-24T18:04:21Z INFO Logging to /tmp/logs/update_2026-09-24T18-04-21Z.log.
2026-09-24T18:04:21Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-24T18:04:22Z INFO Processing 360 items (56167 already recorded).
2026-09-24T18:33:03Z INFO [74/360] 1365cad7-90fd-4143-bf0b-5d787e532604: 62 chunks; 0.5 s; peak memory 1144 MiB.
2026-09-24T18:33:10Z INFO [75/360] 1365d89e-ab13-4abc-a787-e4781aa7de7e: 17172 chunks; 7.4 s; peak memory 1144 MiB.
2026-09-24T18:33:13Z INFO [76/360] 1365ddf9-b66d-4b9e-874f-971127c08d77: 184 chunks; 2.3 s; peak memory 1144 MiB.
2026-09-24T18:33:13Z INFO [77/360] 1367ce85-c6b0-46bb-99c1-908881151440: 112 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:33:14Z INFO [78/360] 136843bd-7f18-49ab-9c96-05e435a3f838: 112 chunks; 0.6 s; peak memory 1144 MiB.
2026-09-24T18:33:15Z INFO [79/360] 13685c7f-a790-4ca5-b792-a60bd5b24c53: 193 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:33:16Z INFO [80/360] 1369e729-d2de-4b9b-8e24-30fd6def7656: 48 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:33:35Z INFO [81/360] 136acd98-ca4b-4021-aeec-ddf8d8024de9: 8692 chunks; 19.3 s; peak memory 1144 MiB.
2026-09-24T18:33:37Z INFO [82/360] 136ad2bb-8f55-41fc-942f-8672d0b99824: 123 chunks; 1.5 s; peak memory 1144 MiB.
2026-09-24T18:33:38Z INFO [83/360] 136ae4aa-8bf5-4e21-a8d0-582b1d9043c3: 71 chunks; 1.7 s; peak memory 1144 MiB.
2026-09-24T18:33:39Z INFO [84/360] 136b087e-ac58-473d-8f77-a5b8a45a0e81: 117 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:33:40Z INFO [85/360] 136ba91b-3833-46d4-8010-d517b14d12bf: 117 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:33:41Z INFO [86/360] 136c04dd-2924-49eb-b048-9e2c1d9c75c7: 116 chunks; 0.9 s; peak memory 1144 MiB.
2026-09-24T18:33:42Z INFO [87/360] 136c5383-c88f-4fe7-8b76-73df824bbc96: 57 chunks; 0.6 s; peak memory 1144 MiB.
2026-09-24T18:33:42Z INFO [88/360] 136c90af-bc56-4e0f-ac28-f839862a63e9: 48 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:33:43Z INFO [89/360] 136c9f39-54f8-43c3-80a6-8816dfd5edcd: 118 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:33:55Z INFO [90/360] 136d4bc0-18da-4926-a055-d52d3001a8db: 25937 chunks; 12.0 s; peak memory 1144 MiB.
2026-09-24T18:33:56Z INFO [91/360] 136d57ef-1f23-4e69-8c55-e5efb7d5c81b: 67 chunks; 0.9 s; peak memory 1144 MiB.
2026-09-24T18:33:57Z INFO [92/360] 136d95e2-9b84-4d05-94c6-5aec6de75020: 52 chunks; 0.4 s; peak memory 1144 MiB.
2026-09-24T18:33:58Z INFO [93/360] 136e884d-825d-4541-83d2-88bebbabf671: 71 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:34:00Z INFO [94/360] 136f0bf1-7035-404a-bfb6-b24b95b0a9f7: 179 chunks; 2.5 s; peak memory 1144 MiB.
2026-09-24T18:34:01Z INFO [95/360] 13703ed8-7fba-485a-a628-f352f3735ad9: 46 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:34:02Z INFO [96/360] 13711ba7-e5dd-4a97-b5e2-3d7fd3d6c423: 133 chunks; 1.6 s; peak memory 1144 MiB.
2026-09-24T18:34:03Z INFO [97/360] 13716166-81b6-4d54-a446-247bafe03c5c: 114 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:34:05Z INFO [98/360] 137164bf-2230-4bd6-9019-54f437b5d166: 116 chunks; 1.7 s; peak memory 1144 MiB.
2026-09-24T18:34:06Z INFO [99/360] 13716b5c-04b4-4799-a7ca-d5a6df354e93: 48 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:34:06Z INFO [100/360] 137237d4-eaa3-4f1f-ab54-da77ac3e8769: 109 chunks; 0.9 s; peak memory 1144 MiB.
2026-09-24T18:34:07Z INFO [100/360] 137237d4-eaa3-4f1f-ab54-da77ac3e8769: checkpointed 56267 records.
2026-09-24T18:34:08Z INFO [101/360] 137298ee-7cb7-44eb-aecf-95ef819c4c90: 71 chunks; 1.1 s; peak memory 1144 MiB.
2026-09-24T18:34:09Z INFO [102/360] 13734058-9fcb-4e75-a19b-534da6b45692: 937 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:34:09Z INFO [103/360] 13753607-5a7c-45ee-b43d-04b3cbd35c36: 48 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:34:10Z INFO [104/360] 13764f63-7a51-4b35-aa4a-1f2cc99c68d0: 56 chunks; 0.6 s; peak memory 1144 MiB.
2026-09-24T18:34:11Z INFO [105/360] 13768881-e3d7-4fa8-9b61-e2e1e34d4892: 114 chunks; 0.6 s; peak memory 1144 MiB.
2026-09-24T18:49:13Z INFO [106/360] 1376a8ea-10f9-4283-8b19-63b7af725eca: 543940 chunks; 902.0 s; peak memory 1160 MiB.
2026-09-24T18:49:30Z INFO [107/360] 1376bfa4-f374-47dc-b758-7d759e6c97c0: 6592 chunks; 17.3 s; peak memory 1160 MiB.
2026-09-24T18:49:31Z INFO [108/360] 137710a2-1791-42a4-b537-e22f1c353da2: 112 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:49:31Z INFO [109/360] 1378681e-8d08-41a7-a1b4-003625740360: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:49:33Z INFO [110/360] 13786c50-43d2-4cd6-9543-d8d02d08ff5a: 933 chunks; 1.4 s; peak memory 1160 MiB.
2026-09-24T18:49:33Z INFO [111/360] 13787bab-b860-4634-96c3-1d0f534cd174: 48 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:49:34Z INFO [112/360] 1379a9ae-e904-4ca2-9cca-82de578e1052: 48 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:49:36Z INFO [113/360] 137bec33-8869-4065-89ec-36a0c3fd7ff7: 186 chunks; 1.5 s; peak memory 1160 MiB.
2026-09-24T18:49:36Z INFO [114/360] 137d29ab-0bb8-40ce-a903-c291d8c74d9e: 48 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:49:37Z INFO [115/360] 137dd132-f0c2-4655-93d0-b3ba16d9fa50: 112 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:49:38Z INFO [116/360] 137f3798-9a85-48bf-a762-cc74d5c3e187: 117 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:49:39Z INFO [117/360] 137f8bd2-2bdb-40a7-bf8d-c3b3d3af20fc: 63 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:49:39Z INFO [118/360] 137fba70-ab14-41c1-9046-3c596e1f420d: 52 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:49:40Z INFO [119/360] 1380935a-e673-428b-ad9e-110739a770e1: 48 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:49:41Z INFO [120/360] 1381a65f-762f-4099-be27-22fc02cbac5a: 131 chunks; 1.0 s; peak memory 1160 MiB.
2026-09-24T18:49:42Z INFO [121/360] 1381ef92-aaaa-456c-be2c-1fbef5c17149: 48 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:49:42Z INFO [122/360] 13826ac5-3a57-4a23-b9ce-dc6f96b73b5b: 116 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:49:43Z INFO [123/360] 13836f84-de42-4d34-9390-1f8b709e9155: 48 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:49:50Z INFO [124/360] 1383d018-fd2e-46df-a1fb-05f0f10b5987: 12345 chunks; 6.8 s; peak memory 1160 MiB.
2026-09-24T18:49:52Z INFO [125/360] 1384916f-6c6f-4c91-9ffc-87d123eb27fd: 156 chunks; 1.9 s; peak memory 1160 MiB.
2026-09-24T18:49:53Z INFO [126/360] 13849402-ca91-42b9-a4e7-fac3d3744b49: 46 chunks; 0.8 s; peak memory 1160 MiB.
2026-09-24T18:49:53Z INFO [127/360] 1386767e-7b08-46a6-9f2f-3c1fdab7c724: 48 chunks; 0.6 s; peak memory 1160 MiB.
2026-09-24T18:49:54Z INFO [128/360] 1387adc3-29fe-45f3-a5f6-e479bb51cc31: 77 chunks; 0.7 s; peak memory 1160 MiB.
2026-09-24T18:49:57Z INFO [129/360] 138835ec-06d9-42b1-90ff-b6fb9d871dcf: 238 chunks; 3.4 s; peak memory 1160 MiB.
2026-09-24T18:49:58Z INFO [130/360] 13897e72-1cad-4111-ad70-cd24266149cf: 48 chunks; 0.7 s; peak memory 1160 MiB.
