2026-09-25T22:58:07Z INFO Logging to /tmp/logs/update_2026-09-25T22-58-07Z.log.
2026-09-25T22:58:07Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-25T22:58:07Z INFO Processing 364 items (57656 already recorded).
2026-09-25T23:00:53Z INFO [61/364] 167bb74f-cc97-40cd-a91c-7bc9ef3886f2: 116 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:00:55Z INFO [62/364] 167c3028-35a4-4ce2-a67f-ce51e39da5c1: 69 chunks; 1.2 s; peak memory 408 MiB.
2026-09-25T23:00:55Z INFO [63/364] 167c56b1-74e0-4e46-9afa-808a0de997d6: 117 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:56Z INFO [64/364] 167cd81b-5cf0-4546-a370-986a5c150372: 52 chunks; 0.4 s; peak memory 408 MiB.
2026-09-25T23:00:58Z INFO [65/364] 167cdbb4-e606-487f-976e-7e8840b9dac1: 2157 chunks; 2.1 s; peak memory 408 MiB.
2026-09-25T23:00:59Z INFO [66/364] 167d1112-9299-4fe8-87a2-3422b69652ea: 112 chunks; 0.9 s; peak memory 408 MiB.
2026-09-25T23:00:59Z INFO [67/364] 167d52b3-d72a-4aef-a0d3-9e5f3c984ca9: 118 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:01:03Z INFO [68/364] 167d81ea-9a12-435d-bb4d-65766c6da074: 2923 chunks; 3.5 s; peak memory 408 MiB.
2026-09-25T23:01:04Z INFO [69/364] 167ddabe-c750-4850-b042-198080530447: 112 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T23:01:04Z INFO [70/364] 167fad12-47f6-4f12-85b3-8ec73799b4b3: 116 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:01:05Z INFO [71/364] 1682f69f-5666-4e0e-8b35-1167c4f5009a: 41 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:01:13Z INFO [72/364] 16849685-3a07-42fd-88e1-e46647c25a7a: 432 chunks; 8.3 s; peak memory 408 MiB.
2026-09-25T23:01:14Z INFO [73/364] 168521e3-6eb7-4abf-92a1-95482eaf2d91: 82 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:01:18Z INFO [74/364] 16859ce6-14fc-43b9-93b8-42a55ebb40ad: 339 chunks; 4.8 s; peak memory 408 MiB.
2026-09-25T23:01:19Z INFO [75/364] 1685a1cc-1ce4-4f4f-8a48-9715f14b1488: 48 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T23:01:20Z INFO [76/364] 1685b646-453e-45ca-be33-42d0efe41977: 48 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:01:22Z INFO [77/364] 168619ca-3d18-46e9-915f-f32e0b61ccd6: 658 chunks; 2.7 s; peak memory 408 MiB.
2026-09-25T23:01:26Z INFO [78/364] 16871063-fc3e-441d-b47f-caf10b817bb6: 2923 chunks; 3.4 s; peak memory 408 MiB.
2026-09-25T23:01:28Z INFO [79/364] 16873f28-3127-4e44-9f7e-d1f36b51e810: 420 chunks; 2.6 s; peak memory 408 MiB.
2026-09-25T23:01:30Z INFO [80/364] 1688b1cc-2b2d-425d-9e67-9182d119c5f5: 66 chunks; 1.0 s; peak memory 408 MiB.
2026-09-25T23:01:30Z INFO [81/364] 1688b4e0-6226-46e1-96c8-0ae574e8b946: 117 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:01:31Z INFO [82/364] 1688fc12-8585-4b87-aadd-6b607764750b: 110 chunks; 0.9 s; peak memory 408 MiB.
