2026-09-22T22:32:42Z INFO Logging to /tmp/logs/update_2026-09-22T22-32-42Z.log.
2026-09-22T22:32:42Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-22T22:32:43Z INFO Processing 351 items (54324 already recorded).
2026-09-22T22:35:36Z INFO [30/351] 0f8c245c-a445-4dae-8623-86894e93f86f: 48 chunks; 1.0 s; peak memory 298 MiB.
2026-09-22T22:35:38Z INFO [31/351] 0f8d4f2c-a64c-47e1-8264-802ff826b38c: 62 chunks; 1.3 s; peak memory 298 MiB.
2026-09-22T22:35:39Z INFO [32/351] 0f8e3231-a720-4c21-9696-763373dce857: 275 chunks; 1.5 s; peak memory 298 MiB.
2026-09-22T22:35:41Z INFO [33/351] 0f8e3a69-aaf8-4ed4-8339-fd6b583e1769: 71 chunks; 1.8 s; peak memory 298 MiB.
2026-09-22T22:35:42Z INFO [34/351] 0f8f2479-0e28-488f-aa75-83cd4dfbab02: 45 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:35:44Z INFO [35/351] 0f8f4df7-4c3d-4b4f-a791-f588348d570e: 71 chunks; 1.9 s; peak memory 298 MiB.
2026-09-22T22:35:45Z INFO [36/351] 0f91ab05-7400-4361-9b09-a45881675872: 48 chunks; 1.0 s; peak memory 298 MiB.
2026-09-22T22:35:46Z INFO [37/351] 0f920343-7289-4654-b3cf-4d25d8233a44: 48 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:35:47Z INFO [38/351] 0f92291f-88c4-4cda-86ca-aaa09bcb4d20: 46 chunks; 0.6 s; peak memory 298 MiB.
2026-09-22T22:35:48Z INFO [39/351] 0f92fbac-bc40-4e34-bcc7-edaa78a2203b: 92 chunks; 1.7 s; peak memory 298 MiB.
2026-09-22T22:35:49Z INFO [40/351] 0f933869-b67c-4114-b547-238a6355b889: 110 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:35:50Z INFO [41/351] 0f93c498-4ce9-4314-9138-cf9c939048bd: 112 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:35:51Z INFO [42/351] 0f94bdb7-5f7f-4450-8d52-95d693688ea6: 121 chunks; 0.9 s; peak memory 298 MiB.
2026-09-22T22:35:53Z INFO [43/351] 0f94dba9-252f-48cf-b5d0-ce07fd07dc1e: 937 chunks; 1.8 s; peak memory 298 MiB.
2026-09-22T22:35:58Z INFO [44/351] 0f9533d6-300e-4b51-b269-fa38e76f87e6: 2306 chunks; 4.5 s; peak memory 298 MiB.
2026-09-22T22:35:59Z INFO [45/351] 0f958a02-8ab8-4b47-bbc6-3c47dc2a145f: 66 chunks; 1.5 s; peak memory 298 MiB.
2026-09-22T22:36:00Z INFO [46/351] 0f96e32c-53ff-4c2e-9aa5-d537f31592bc: 41 chunks; 1.0 s; peak memory 298 MiB.
