2026-09-21T20:43:17Z INFO Logging to /tmp/logs/update_2026-09-21T20-43-17Z.log.
2026-09-21T20:43:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-21T20:43:17Z INFO Processing 356 items (52864 already recorded).
2026-09-21T20:49:20Z INFO [77/356] 0ca913fd-c6ca-4142-9eb9-82537e4f7303: 66 chunks; 1.8 s; peak memory 253 MiB.
2026-09-21T20:49:21Z INFO [78/356] 0caaa06c-58fa-47ee-810e-65e09c85ab2c: 46 chunks; 1.1 s; peak memory 253 MiB.
2026-09-21T20:49:22Z INFO [79/356] 0caae806-5d7e-4b81-873c-dc23cd2381e9: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:49:23Z INFO [80/356] 0caaedce-7696-4563-815d-7ba5b0a35c95: 48 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:49:33Z INFO [81/356] 0cab1578-d520-433a-9dac-acee68dfb0d9: 16484 chunks; 9.3 s; peak memory 253 MiB.
2026-09-21T20:49:34Z INFO [82/356] 0cab82fe-9bf6-4b97-b7f7-e35fa3ef5b87: 54 chunks; 1.1 s; peak memory 253 MiB.
2026-09-21T20:49:36Z INFO [83/356] 0cac9995-0d51-4763-a046-6303bb40dd44: 117 chunks; 1.9 s; peak memory 253 MiB.
2026-09-21T20:49:39Z INFO [84/356] 0cad0f68-5304-48c7-a7f6-b0adaf66e41a: 101 chunks; 3.0 s; peak memory 253 MiB.
2026-09-21T20:49:40Z INFO [85/356] 0cade163-c2e0-4ca1-88f9-a802b803a264: 117 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:49:42Z INFO [86/356] 0cae0a41-48a4-4b84-8d3e-2d6aa23b8e87: 110 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:49:45Z INFO [87/356] 0cae139a-b658-4048-9c44-98ea5240dab7: 80 chunks; 3.3 s; peak memory 253 MiB.
2026-09-21T20:49:47Z INFO [88/356] 0caf61c8-aee5-4c1d-a648-e5354ca63bac: 118 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:49:48Z INFO [89/356] 0caf94e2-05da-496d-b092-5a1d5dd00ab7: 121 chunks; 1.6 s; peak memory 253 MiB.
2026-09-21T20:49:50Z INFO [90/356] 0cafd369-2eef-4504-b25c-0471ffc114c9: 49 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:49:53Z INFO [91/356] 0cafe0d3-4359-4090-b642-b20aaac01c94: 118 chunks; 2.9 s; peak memory 253 MiB.
2026-09-21T20:49:54Z INFO [92/356] 0cb0ce39-d72b-4704-9f88-bc66a5c7c731: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:49:56Z INFO [93/356] 0cb1add9-a132-41d2-b51a-994a6d21ff8c: 71 chunks; 2.2 s; peak memory 253 MiB.
2026-09-21T20:49:58Z INFO [94/356] 0cb296af-b97f-457b-a243-a267148fd4ea: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:49:59Z INFO [95/356] 0cb3f9b5-0c65-4228-b6b3-cfc3fdbb4a4b: 48 chunks; 1.3 s; peak memory 253 MiB.
2026-09-21T20:50:01Z INFO [96/356] 0cb48758-35c9-4f76-b675-40c9580f7d64: 66 chunks; 1.9 s; peak memory 253 MiB.
2026-09-21T20:50:02Z INFO [97/356] 0cb50ad4-a246-4121-8dac-9cc1160b4023: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:50:04Z INFO [98/356] 0cb6018c-007a-40dd-b5de-fd0117ac3299: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:50:06Z INFO [99/356] 0cb61ed4-f561-4f93-b14c-432de49e6619: 125 chunks; 2.6 s; peak memory 253 MiB.
2026-09-21T20:50:08Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: 65 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:50:08Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: checkpointed 52964 records.
2026-09-21T20:50:10Z INFO [101/356] 0cb7ccaf-7c74-414b-ae72-4e1d8f9e04c1: 76 chunks; 2.1 s; peak memory 253 MiB.
2026-09-21T20:50:12Z INFO [102/356] 0cb9539b-06dc-4fa1-99b6-5335e8cbf0cf: 117 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:50:14Z INFO [103/356] 0cb99df3-ef1d-43a4-87f8-e75ce0b815ae: 69 chunks; 2.0 s; peak memory 253 MiB.
2026-09-21T20:50:15Z INFO [104/356] 0cb9c43a-6610-4101-9bcb-a221055dd28e: 35 chunks; 1.0 s; peak memory 253 MiB.
2026-09-21T20:50:17Z INFO [105/356] 0cba574d-cd88-46e7-aa14-08adf4e88878: 112 chunks; 1.8 s; peak memory 253 MiB.
2026-09-21T20:50:19Z INFO [106/356] 0cba6224-5ca0-4e75-940a-6a3fc72d3f5c: 112 chunks; 2.2 s; peak memory 253 MiB.
2026-09-21T20:50:21Z INFO [107/356] 0cbae780-a8b5-4caf-afa0-460218e004ba: 69 chunks; 2.1 s; peak memory 253 MiB.
2026-09-21T20:50:40Z INFO [108/356] 0cbb05ef-ac17-47d0-bd80-43e32d51800c: 6053 chunks; 18.8 s; peak memory 253 MiB.
2026-09-21T20:50:56Z INFO [109/356] 0cbb3125-fc72-4a6a-999f-73818b3d07e7: 8229 chunks; 16.4 s; peak memory 253 MiB.
2026-09-21T20:50:58Z INFO [110/356] 0cbb777a-a217-4422-8ce6-e97b1743e300: 57 chunks; 1.8 s; peak memory 253 MiB.
2026-09-21T20:50:59Z INFO [111/356] 0cbbd328-4a05-41c6-a388-23bee34ae855: 42 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:51:01Z INFO [112/356] 0cbcc93b-6413-42a4-9ff2-192db81e59a9: 118 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:51:03Z INFO [113/356] 0cbd268d-e2ff-4919-ab28-aafde7e83f56: 66 chunks; 2.1 s; peak memory 253 MiB.
2026-09-21T20:51:05Z INFO [114/356] 0cbdeb16-eafa-4fdf-9dda-3bd5892a04ba: 117 chunks; 1.8 s; peak memory 253 MiB.
2026-09-21T20:51:08Z INFO [115/356] 0cbe9f74-495d-46a9-b6dd-afe7e8a46450: 997 chunks; 3.1 s; peak memory 253 MiB.
