2026-09-17T12:53:54Z INFO Logging to /tmp/logs/update_2026-09-17T12-53-54Z.log.
2026-09-17T12:53:54Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T12:53:55Z INFO Processing 385 items (48028 already recorded).
2026-09-17T12:59:07Z INFO [78/385] 0277f95e-dd03-4740-a987-14a28bd7752f: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:59:09Z INFO [79/385] 0277fd86-ed3f-4d1e-b0be-2300df8d0398: 170 chunks; 1.4 s; peak memory 318 MiB.
2026-09-17T12:59:10Z INFO [80/385] 0278b8b4-9f79-49e9-918e-e4bd0a99f2c9: 72 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:59:11Z INFO [81/385] 0278c933-c33d-4ac9-9f3a-14be8ec1ac1e: 57 chunks; 1.1 s; peak memory 318 MiB.
2026-09-17T12:59:14Z INFO [82/385] 02796435-95b1-463b-b902-dc06bc9be988: 114 chunks; 2.9 s; peak memory 318 MiB.
2026-09-17T12:59:15Z INFO [83/385] 02797d31-e8ef-481d-9149-2b81d191d1c0: 118 chunks; 1.4 s; peak memory 318 MiB.
2026-09-17T12:59:16Z INFO [84/385] 027982cc-b57a-436c-a634-131180f11c2e: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:59:18Z INFO [85/385] 0279a7b7-9dc4-4d21-bf27-f03462f56851: 70 chunks; 1.7 s; peak memory 318 MiB.
2026-09-17T12:59:24Z INFO [86/385] 0279dca2-9cb3-44ba-8483-5c377e21acac: 238 chunks; 6.2 s; peak memory 318 MiB.
2026-09-17T12:59:26Z INFO [87/385] 027a144b-972f-4180-896b-734131520208: 118 chunks; 1.4 s; peak memory 318 MiB.
2026-09-17T12:59:28Z INFO [88/385] 027a7730-53ff-4421-8ef0-a2d633d65e25: 71 chunks; 1.9 s; peak memory 318 MiB.
2026-09-17T12:59:30Z INFO [89/385] 027adeb8-c4b7-427b-a077-7324df21255d: 112 chunks; 2.1 s; peak memory 318 MiB.
