2026-09-20T22:03:17Z INFO Logging to /tmp/logs/update_2026-09-20T22-03-17Z.log.
2026-09-20T22:03:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-20T22:03:17Z INFO Processing 369 items (52128 already recorded).
2026-09-20T22:59:47Z INFO [78/369] 0b2719b6-bdcd-4f90-b8b4-d6d5e30da392: 1321378 chunks; 3059.5 s; peak memory 1208 MiB.
2026-09-20T22:59:48Z INFO [79/369] 0b279b5c-3981-460b-98e2-c024ee1b2586: 48 chunks; 1.4 s; peak memory 1208 MiB.
2026-09-20T22:59:54Z INFO [80/369] 0b27de9b-c376-4285-9717-7ad213eae955: 2085 chunks; 5.1 s; peak memory 1208 MiB.
2026-09-20T22:59:55Z INFO [81/369] 0b2899b5-d78f-48f3-a59a-d3fdf691f966: 62 chunks; 1.7 s; peak memory 1208 MiB.
2026-09-20T22:59:57Z INFO [82/369] 0b2925d2-3d1e-473d-894b-f0eeb84dd8b0: 72 chunks; 1.5 s; peak memory 1208 MiB.
2026-09-20T22:59:58Z INFO [83/369] 0b2a9b1b-5c69-49b0-9f8b-3e14857f0944: 48 chunks; 1.4 s; peak memory 1208 MiB.
2026-09-20T23:00:15Z INFO [84/369] 0b2b0855-5c0c-429b-a196-902d5b101722: 643 chunks; 17.3 s; peak memory 1208 MiB.
2026-09-20T23:00:22Z INFO [85/369] 0b2c62de-4220-4af7-8507-d724a4389560: 290 chunks; 6.7 s; peak memory 1208 MiB.
2026-09-20T23:00:23Z INFO [86/369] 0b2dd134-8cc5-4dc9-af5a-ff04b8fe32a8: 69 chunks; 1.2 s; peak memory 1208 MiB.
2026-09-20T23:00:25Z INFO [87/369] 0b2e2421-5df3-49f3-ad03-350004f315d5: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:00:36Z INFO [88/369] 0b2f37af-7433-4c45-9c1a-e3e8c356183e: 343 chunks; 11.3 s; peak memory 1208 MiB.
2026-09-20T23:00:38Z INFO [89/369] 0b2ff777-693a-4bb2-bd0f-7c9f7705debf: 71 chunks; 2.4 s; peak memory 1208 MiB.
2026-09-20T23:00:40Z INFO [90/369] 0b2ffa75-c9a1-4bcc-a36c-675ed84cf1f7: 289 chunks; 2.0 s; peak memory 1208 MiB.
2026-09-20T23:00:43Z INFO [91/369] 0b309d70-80bd-4c15-8822-ac18c5d3eca2: 154 chunks; 2.9 s; peak memory 1208 MiB.
2026-09-20T23:00:44Z INFO [92/369] 0b323e98-bacb-419b-b23a-a4677b0da91d: 69 chunks; 1.2 s; peak memory 1208 MiB.
2026-09-20T23:00:46Z INFO [93/369] 0b32a99b-65d8-4454-a49d-32e7243f158d: 48 chunks; 1.3 s; peak memory 1208 MiB.
2026-09-20T23:00:48Z INFO [94/369] 0b32e366-4d8c-4116-be6c-81e7208b3f36: 104 chunks; 2.3 s; peak memory 1208 MiB.
