2026-09-18T22:04:27Z INFO Logging to /tmp/logs/update_2026-09-18T22-04-27Z.log.
2026-09-18T22:04:27Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-18T22:04:27Z INFO Processing 369 items (49898 already recorded).
2026-09-18T22:16:09Z INFO [66/369] 066ba34d-a0bd-4f6d-90de-1b9decfe64a9: 261 chunks; 1.0 s; peak memory 1132 MiB.
2026-09-18T22:16:10Z INFO [67/369] 066bfd6e-57ae-4fa2-9672-9101c374df6c: 66 chunks; 1.3 s; peak memory 1132 MiB.
2026-09-18T22:16:11Z INFO [68/369] 066d38d5-1a29-403e-9faa-01eaf255b2a1: 117 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:16:16Z INFO [69/369] 066d4585-4e66-4588-91a9-ce90944f5943: 15506 chunks; 4.3 s; peak memory 1132 MiB.
2026-09-18T22:16:17Z INFO [70/369] 066e8e7d-688b-4d06-8ef5-f266d187d4ba: 850 chunks; 1.8 s; peak memory 1132 MiB.
2026-09-18T22:16:21Z INFO [71/369] 066ee288-2f8c-4e66-9b37-72ab6748659c: 2923 chunks; 3.8 s; peak memory 1132 MiB.
2026-09-18T22:16:22Z INFO [72/369] 066f1ceb-fe09-4b77-a07b-749c676de3bc: 117 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:16:23Z INFO [73/369] 066fc6ea-7bd6-4858-a891-67c8ec07e205: 118 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:17:49Z INFO [74/369] 066fe628-6620-4edc-941b-acd959ea1f25: 40651 chunks; 86.3 s; peak memory 1132 MiB.
2026-09-18T22:17:55Z INFO [75/369] 0670ff4b-76ab-49c3-af60-449a7b3180ba: 20582 chunks; 6.3 s; peak memory 1132 MiB.
2026-09-18T22:17:56Z INFO [76/369] 06713c4b-2793-4215-8347-0aa7ff15f92c: 66 chunks; 1.1 s; peak memory 1132 MiB.
2026-09-18T22:17:57Z INFO [77/369] 06716380-e13d-46ae-8e7e-fa21c09903ce: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:17:58Z INFO [78/369] 067173e7-2f5c-4e3a-9994-d2a9f19953f9: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:17:58Z INFO [79/369] 0671a1e4-f049-4f43-af47-dc24c11e7938: 66 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:18:00Z INFO [80/369] 0671abb8-d94d-4b0d-b9b7-a2ea65b6b79e: 156 chunks; 1.7 s; peak memory 1132 MiB.
2026-09-18T22:18:01Z INFO [81/369] 06725e0c-b79a-487e-90f4-2fceb008408d: 48 chunks; 0.6 s; peak memory 1132 MiB.
2026-09-18T22:18:02Z INFO [82/369] 0672c6ea-b8a9-4268-afec-a5c0d7b40f6c: 112 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:18:07Z INFO [83/369] 06737f00-1e12-4ffe-96b9-958a9ec6b770: 9968 chunks; 5.0 s; peak memory 1132 MiB.
2026-09-18T22:18:08Z INFO [84/369] 0674b485-d393-44f1-80cf-85ad1eebd888: 62 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:18:08Z INFO [85/369] 06752a67-dfaf-4987-840c-6b42ba1e1cc7: 112 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:18:09Z INFO [86/369] 06760ea0-f991-4f89-ac3a-b7f77d3ee5ca: 48 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:18:10Z INFO [87/369] 06770aa1-7f0c-4bca-926c-1986745019d9: 112 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:18:11Z INFO [88/369] 067720cb-f739-4a07-b0e6-527c3138beb0: 112 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:18:12Z INFO [89/369] 06779cd8-6ab1-428c-99b0-7c4b688cb5df: 110 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:18:15Z INFO [90/369] 0677fdc3-5d92-4614-88d4-55ca0edf23da: 9429 chunks; 3.6 s; peak memory 1132 MiB.
2026-09-18T22:18:16Z INFO [91/369] 067803a4-c8cb-4420-a04f-97858aa1dcdb: 112 chunks; 0.9 s; peak memory 1132 MiB.
2026-09-18T22:18:18Z INFO [92/369] 067899a7-e8d6-40d0-a8c7-5abeb032299d: 115 chunks; 1.6 s; peak memory 1132 MiB.
2026-09-18T22:18:18Z INFO [93/369] 0678dd83-d6c0-4fa0-9b12-11a77f62458f: 49 chunks; 0.7 s; peak memory 1132 MiB.
2026-09-18T22:18:20Z INFO [94/369] 0679437d-0e7c-424c-a8ee-5a23e63ae4a3: 115 chunks; 1.5 s; peak memory 1132 MiB.
2026-09-18T22:18:21Z INFO [95/369] 0679a6e6-4c44-4e66-ba4e-f1f3922cd155: 52 chunks; 0.7 s; peak memory 1132 MiB.
