2026-09-17T17:52:14Z INFO Logging to /tmp/logs/update_2026-09-17T17-52-14Z.log.
2026-09-17T17:52:14Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T17:52:14Z INFO Processing 371 items (48413 already recorded).
2026-09-17T17:57:42Z INFO [78/371] 03439f5b-5ab5-439c-84d4-76c216a1193e: 112 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:57:43Z INFO [79/371] 0343e283-6f6b-476b-a17d-cdd0aa50c35b: 115 chunks; 1.7 s; peak memory 326 MiB.
2026-09-17T17:57:44Z INFO [80/371] 03445840-960f-4596-bf0a-9a4b4bbb4f13: 48 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:57:46Z INFO [81/371] 03455b72-9749-4c19-87c7-170f51106c83: 78 chunks; 1.4 s; peak memory 326 MiB.
2026-09-17T17:57:46Z INFO [82/371] 03458a9e-f0ea-4e95-9c55-75721462acf5: 46 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:57:47Z INFO [83/371] 0345d8a3-a5cc-4dbd-a587-119fa099bb0b: 69 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:57:47Z INFO [84/371] 0345fb05-12ed-4af4-b459-128708850477: 162 chunks; 0.6 s; peak memory 326 MiB.
2026-09-17T17:57:49Z INFO [85/371] 03463604-5296-48a3-9169-c90c6e33cad7: 132 chunks; 1.2 s; peak memory 326 MiB.
2026-09-17T17:57:49Z INFO [86/371] 0346ae94-a3ce-4f8a-bc61-d57ef25bd925: 117 chunks; 0.8 s; peak memory 326 MiB.
2026-09-17T17:57:50Z INFO [87/371] 03476e20-8bd0-461e-8f65-dd198fdf4fc0: 48 chunks; 0.7 s; peak memory 326 MiB.
2026-09-17T17:57:52Z INFO [88/371] 0348611c-b226-4e37-9a7a-df0669cb1782: 71 chunks; 1.4 s; peak memory 326 MiB.
2026-09-17T17:57:52Z INFO [89/371] 0348beb6-a9ca-4c0c-b413-ad8397de3c7d: 112 chunks; 0.8 s; peak memory 326 MiB.
